Shirt,Player,Team,Formation,Match_x,Nation,Age,Min,Shot Stopping|SoTA,Shot Stopping|GA,Shot Stopping|Saves,Shot Stopping|Save%,Shot Stopping|PSxG,Launched|Cmp,Launched|Att,Launched|Cmp%,Passes|Att,Passes|Thr,Passes|Launch%,Passes|AvgLen,Goal Kicks|Att,Goal Kicks|Launch%,Goal Kicks|AvgLen,Crosses|Opp,Crosses|Stp,Crosses|Stp%,Sweeper|#OPA,Sweeper|AvgDist,Match_y
13,David Gil,Cádiz,4-2-3-1,/en/matches/15d5602e/Cadiz-Osasuna-September-12-2020-La-Liga,es ESP,26-245,90,3,2,1,33.3,1.2,5,29,17.2,28,3,75.0,51.4,9,88.9,64.3,5,0,0.0,0,9.0,/en/matches/15d5602e/Cadiz-Osasuna-September-12-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/15d5602e/Cadiz-Osasuna-September-12-2020-La-Liga,es ESP,27-099,90,3,0,3,100.0,0.4,13,30,43.3,23,2,87.0,56.5,10,100.0,68.2,11,1,9.1,0,12.7,/en/matches/15d5602e/Cadiz-Osasuna-September-12-2020-La-Liga
13,David Soria,Getafe,4-4-2,/en/matches/55e47b9d/Getafe-Osasuna-September-19-2020-La-Liga,es ESP,27-168,90,3,0,3,100.0,0.4,9,32,28.1,37,2,73.0,50.8,9,55.6,43.3,3,0,0.0,0,10.9,/en/matches/55e47b9d/Getafe-Osasuna-September-19-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/55e47b9d/Getafe-Osasuna-September-19-2020-La-Liga,es ESP,27-106,90,1,1,0,0.0,0.7,11,32,34.4,34,5,76.5,55.1,7,85.7,60.9,16,0,0.0,1,14.8,/en/matches/55e47b9d/Getafe-Osasuna-September-19-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/3e106d0a/Osasuna-Levante-September-27-2020-La-Liga,es ESP,27-114,90,4,3,1,25.0,2.6,15,34,44.1,34,6,67.6,48.2,11,100.0,64.0,10,1,10.0,2,18.1,/en/matches/3e106d0a/Osasuna-Levante-September-27-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/3e106d0a/Osasuna-Levante-September-27-2020-La-Liga,es ESP,29-147,90,3,1,2,66.7,0.2,2,17,11.8,17,2,76.5,53.1,9,44.4,31.4,7,1,14.3,2,13.8,/en/matches/3e106d0a/Osasuna-Levante-September-27-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/ed786021/Osasuna-Celta-Vigo-October-4-2020-La-Liga,es ESP,27-121,90,4,0,4,100.0,0.8,15,29,51.7,25,3,88.0,64.1,7,100.0,64.0,8,2,25.0,0,13.1,/en/matches/ed786021/Osasuna-Celta-Vigo-October-4-2020-La-Liga
1,Iván Villar,Celta,Vigo,/en/matches/ed786021/Osasuna-Celta-Vigo-October-4-2020-La-Liga,es ESP,23-087,90,4,2,2,50.0,1.1,1,12,8.3,30,6,33.3,32.1,9,22.2,33.3,9,1,11.1,2,17.7,/en/matches/ed786021/Osasuna-Celta-Vigo-October-4-2020-La-Liga
1,Marko Dmitrović,Eibar,4-4-2,/en/matches/647c55ca/Eibar-Osasuna-October-18-2020-La-Liga,rs SRB,28-268,90,2,0,2,100.0,0.0,6,21,28.6,18,4,72.2,59.9,8,100.0,80.0,13,1,7.7,0,11.3,/en/matches/647c55ca/Eibar-Osasuna-October-18-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/647c55ca/Eibar-Osasuna-October-18-2020-La-Liga,es ESP,27-135,90,6,0,5,100.0,1.2,13,31,41.9,29,0,89.7,61.5,5,100.0,71.8,13,3,23.1,3,15.7,/en/matches/647c55ca/Eibar-Osasuna-October-18-2020-La-Liga
